,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
32,,"Anto Kiswanto","2021-11-20 12:25:12",0,no,no,"gagal berarti tdk layak berkendara krn tdk ada keahlian melewati rintangan jng salahkan polisi yg buat lintasan, banyak kok yg lulus dan pny keahlian ttep aja kcelakaan apalagi ini ngk lulus mw nya gampang lagi",UCtK1ecl4NzzfA6L9757vIdg,UgxiqQCGtjOcDi_ADZ14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxiqQCGtjOcDi_ADZ14AaABAg
33,,"Aditya Dwi Arianto","2021-11-20 12:25:14",0,no,no,"Masuk akal sesuai sama kondisi jalan yg berlobang",UCiwY5n7cu-UklQd91gmlREw,UgxYTsBztsfn9qJqbQ94AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxYTsBztsfn9qJqbQ94AaABAg
34,,"She DIAN","2021-11-20 12:25:15",0,no,no,"YA BENER SETUJU MBAK APALAGI DI BATAM PERNAH SAYA SURUH POLISINYA MEMBERIKAN CONTOH TAPI BELIAU MENOLAK DAN MENGATAKAN BAHWA BELIAU BISA MELAKUKAN TAPI TETAP AJA BELIAU TIDAK MAU MELAKUKAN UJUNG2NYA BERBISIK KEPADA SAYA BELIAU MENGATAKAN BAHWA BELIAU BISA MEMBANTU SAYA DGN MEMINTA SEJUMLAH UANG 150 RIBU TERUS SAYA NEGO MENJADI 100 RIBU SAYA BERPIKIR KENAPA KINERJA PARA POLISI DI LAPANGAN SEPERTI INI 🤦🤦🤦 RAKYAT INGIN JALAN JUJUR TAPI MEREKA YANG MENGAJARI SESUATU YANG TIDAK BENAR MANALAGI TREKNYA HANYA BERUKURAN KURANG DARI 1 METER PAS PANJANG BODY MOTOR GMANA CARA BELOK ZIG ZAG NYA DAN SEMPAT SAYA MENGATAKAN KEPADA BELIAU CUMA ORANG PEMAIN SIRCUS YANG BISA MENGHADAPI TREK YANG SEPERTI INI .SAYA MENGURUS SIM C DI POLTABES BARELANG BATAM",UCPgrT1KgtBE8XFg_xQiQvuA,UgyhNCjSyr0ZiTfc37V4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyhNCjSyr0ZiTfc37V4AaABAg
35,,"Lisen Holie","2021-11-20 12:25:19",0,no,no,"Setuju banget bude 
Klu udh begini biasanya baru berubah nih 
Bikin SIM ajah dipersulit 
Gitu aja kok repot",UCxKXjtOztt7E1nlId3cK8Sg,UgzUVrDWzI130Z-iV914AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzUVrDWzI130Z-iV914AaABAg
36,,"Jara mbojo","2021-11-20 12:25:25",0,no,no,"Ini udh bkan rahasia umum lagi, hampir mustahil org ikut tes bakal lulus,pasti ujung2nya nembak,ini bkan hal baru,",UCcv25emedsqT951ykcSJjuA,Ugz3_tQ4dK_w9MWafBt4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugz3_tQ4dK_w9MWafBt4AaABAg
37,,"Andini alaya syabilah","2021-11-20 12:25:31",0,no,no,"Itukan sesuai sama track disemua kepolisian diseluruh dunia untuk ujian pembuatan sim motor ko malahan dikomplain hahaha😂🤣.
CERDASLAH DALAM MENILAI & WAJIB SESUAI REALITA YAH",UCDsPgIBPDGYsx1Qb0Pw9x4A,Ugxm8-8Sm9fTwEiosLh4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugxm8-8Sm9fTwEiosLh4AaABAg
38,,"Phiau Then","2021-11-20 12:25:33",0,no,no,Se7,UCN12NqPJmULZV5Mh15BqvBg,UgwJPHGQOIfHIDJ4SGR4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwJPHGQOIfHIDJ4SGR4AaABAg
39,,"ang Prana","2021-11-20 12:25:42",0,no,no,"Latihan lakalantas itu namanya bu,bukan ujian dapetin SIM",UCwvssoqhyHSyHxI5HpE1Gpw,UgyehYRWufFusO7fvbB4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyehYRWufFusO7fvbB4AaABAg
40,,"Tatak Berantakan","2021-11-20 12:25:46",0,no,no,"Ingat kalau emak nggak pernah ngandung kita mungkin  nggak ada juga itu sirkuit,emang mau jdi pembalap.terus berjuang mak.",UCpi6uaxypZLcPYd0DvIz42Q,UgxAyY8JBwvkSQh_Jpl4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxAyY8JBwvkSQh_Jpl4AaABAg
41,,"muhammad mualimin","2021-11-20 12:25:51",0,no,no,"Semoga yang bersangkutan mendengarnya.",UCZrEi2zXdZ_OuhGukH82vcg,Ugy5Pv6PCIjmMi4bXmd4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugy5Pv6PCIjmMi4bXmd4AaABAg
